"balancelibrary","Has an overdue balance with the library","Tshuav ib qho nuj nqi tseem tiv tim chaw qiv ntawv nyeem"
"absent5","Has been absent from class five or more times","Tau qhaj hoob tau tsib zaus lossis ntau tshaj no"
"absent7","Has been absent from class seven or more times","Tau qhaj hoob tau xya zaus lossis ntau tshaj no"
"absent3","Has been absent from class three or more times","Tau qhaj hoob tau peb zaus lossis ntau tshaj no"
"awardmonth","Has been awarded student of the month","Tau txais lub meej mom ua tus neeg kawm ntawv zoo hauv lub hli"
"awardweek","Has been awarded student of the week","Tau txais lub meej mom ua tus neeg kawm ntawv zoo hauv lub lim tiam"
"academicprobation","Has been given academic probation","Tau raug tso rau qhov kawm ntawv poob qis"
"tutoring","Has been recommended for tutoring","Tau raug pom zoo kom txais kev pab qhia ntawv ntxiv"
"lowergrade","Has dropped by one letter grade in class","Tau poob qab ib tus tsiaj ntawv qhab nias hauv hoob"
"extracredit","Has an extra credit assignment","Tau ib qho ntawv ua tas haj ntxiv qhab nias"
"gradingsheet","Has had a grading sheet sent home","Twb tau xa ib daim ntawv kuaj qhab nias los tsev lawm"
"reportcard","Has had a report card sent home","Twb tau xa ib daim ntawv qhia qhab nias xa los tsev lawm"
"bettergrade","Has improved by one letter grade in class","Tau nce ib tus tsiaj ntawv qhab nias hauv hoob"
"workedhard","Has worked hard and is improving performance","Tau rau siab ua ntawv thiab ua tau zoo zog tuaj lawm"
"helped","Helped the teacher","Tau pab tus kws qhia ntawv"
"improved-algebra","Improved algebra skills","Tus peev xwm ua lej algebra zoo dua qub"
"improved-geometry","Improved geometry skills","Tus peev xwm ua lej geometry zoo dua qub"
"improved-handwriting","Improved handwriting skills","Tus peev xwm sau ntawv tes zoo dua qub"
"improved-language","Improved language skills","Tus peev xwm hais lus zoo dua qub"
"improved-math","Improved math skills","Tus peev xwm ua lej zoo dua qub"
"improved-spelling","Improved spelling skills","Tus peev xwm sau tsiaj ntawv meej zoo dua qub"
"topperformer","Is a top performer in class","Yog ib tus ua tau zoo tshaj hauv hoob"
"riskgraduating","Is at risk of not graduating","Yog ib tus uas ntxim yuav tsis cauv ntawv "
"riskgraduatingmeeting","Is at risk of not graduating. Please schedule a meeting.","Yog ib tus uas ntxim yuav tsis cauv ntawv. Thov teem ib lub rooj sib tham."
