"scoreperfect","Scored perfectly on the test","Postigao/la odličan rezultat na testu"
"scoreverywell","Scored very well on the test","Postigao/la vrlo dobar rezultat na testu"
"scorewell","Scored well on the test","Postigao/la dobar rezultat na testu"
"shared","Shared well with others","Sudjelovao/la dobro sa ostalima"
"academicimprovement","Showed improvement in academic achievement","Pokazao/la napredak na postizanju akademskog uspjeha"
"behaviorimprovement","Showed improvement in behavior","Pokazao/la poboljšanje u ponašanju"
"improvement","Showed improvement in behavior and academic achievement","Pokazao/la poboljšanje u ponašanju i akedemskom uspjehu"
"slept","Slept in class today","Spavao/la danas na času"
"focused","Stays focused","Usmjeren/a je"
"focusedorganized","Stays focused and organized","Usmjeren/a je i organizovan/a"
"organized","Stays organized","Organizovan/a je"
"goodnoted","Takes good notes","Pravi dobre zabilješke na času"
"mobile","Used a mobile phone or other electronic device inappropriately","Koristio/la na neodgovarajući način mobilni telefon ili drugu elektronsku napravu"
"badlanguageclass","Used inappropriate language in class","Služio/la se neodgovarajućim jezikom na času"
"badlanguagecampus","Used inappropriate language on campus","Služio/la se neodgovarajućim jezikom na kampusu"
"profanityclass","Used profanity in class ","Služio/la se nepristojim riječima na času  "
"profanitycampus","Used profanity on campus ","Služio/la se nepristojim riječima na kampusu "
"pleasureclass","Was a pleasure to have in class","Bilo je zadovoljstvo imati ga/je u razredu"
"absent","Was absent","Bio/la je odsutan/na"
"absentmakeup","Was absent and needs to complete make up work","Bio/la je odsutan/na i treba završiti zadatke za nadoknađivanje propuštenog gradiva"
"assignedproject","Was assigned a project, please check the due date with your child","Dobio/la je zadatak, molimo da provjerite sa svojim djetetom kada ga treba predati"
"assigneddetention","Was assigned detention","Bio/la u školskoj detenciji"
"homeworkdue-friday","Was assigned homework that is due Friday","Dobio/la je domaći zadatak koji treba predati u petak"
"homeworkdue-monday","Was assigned homework that is due Monday","Dobio/la je domaći zadatak koji treba predati u ponedjeljak"
"homeworkdue-nextfriday","Was assigned homework that is due next Friday","Dobio/la je domaći zadatak koji treba predati sljedećeg petka"
"homeworkdue-nextmonday","Was assigned homework that is due next Monday","Dobio/la je domaći zadatak koji treba predati sljedećeg ponedjeljka"
"homeworkdue-nextthursday","Was assigned homework that is due next Thursday","Dobio/la domaći zadatak koji treba predati sljedećeg četvrtka"
"homeworkdue-nexttuesday","Was assigned homework that is due next Tuesday","Dobio/la domaći zadatak koji treba predati sljedećeg utorka"
"homeworkdue-nextwednesday","Was assigned homework that is due next Wednesday","Dobio/la domaći zadatak koji treba predati sljedeće srijede"
"homeworkdue-thursday","Was assigned homework that is due Thursday","Dobio/la domaći zadatak koji treba predati u četvrtak"
"homeworkdue-tomorrow","Was assigned homework that is due tomorrow","Dobio/la domaći zadatak koji treba predati sutra"
"homeworkdue-tuesday","Was assigned homework that is due Tuesday","Dobio/la domaći zadatak koji treba predati u utorak"
"homeworkdue-wednesday","Was assigned homework that is due Wednesday","Dobio/la domaći zadatak koji treba predati u srijedu"
"disrispectfulclassmates","Was disrespectful to classmates","Nije ukazao/la poštovanje prema ostalim učenicima u razredu"
"disrispectfulteacher","Was disrespectful to the teacher","Nije ukazao/la poštovanje prema nastavniku/ci"
"disruptiveevent","Was disruptive during a school event","Remetio/la je školski događaj"
"disruptiveclass","Was disruptive in class","Remetio/la je nastavu na času"
"disruptivefieldtrip","Was disruptive on the field trip","Remetio/la je školski izlet"
"classpresident","Was elected class president","Izabran/a je za predsjednika razreda"
"homeworkassignment","Was given a homework assignment","Dobio/la je domaću zadatak"
"importantform","Was given an important form which must be returned","Dobio/la je važan obrazac koji se mora vratiti"
"importantletter","Was given an important letter which must be signed","Dobio/la je važno pismo koje se mora potpisati"
"missingreadinglog","Was missing the reading log","Nema evidenciju o čitanju"
"notattentive","Was not attentive in class","Nije obraćao/la pažnju na času"
"inappropriatedressed","Was not dressed appropriately","Nije bio/la odgovarajuće odjeven/a"
"notdressedpe","Was not dressed properly for P.E.","Nije bio/la odgovarajuće odjeven/a za čas fizičkog odgoja"
"notpresentmakeup","Was not present in class and needs to complete make-up work","Nije bio/la prisutan/a na času i treba završtiti zadatke za nadoknađivanje propuštenog gradiva"
"gradingsheet-friday","Will have a grading sheet sent home Friday","Izvještaj sa ocjenama će biti poslat kući u petak"
"gradingsheet-monday","Will have a grading sheet sent home Monday","Izvještaj sa ocjenama će biti poslat kući u ponedjeljak"
"gradingsheet-nextfriday","Will have a grading sheet sent home next Friday","Izvještaj sa ocjenama će biti poslat kući sljedećeg petka"
"gradingsheet-nextmonday","Will have a grading sheet sent home next Monday","Izvještaj sa ocjenama će biti poslat kući sljedećeg ponedjeljka"
