"testgrade-c","Received a grade of C on a test or quiz","Отримав/-ла С за тест або контрольну роботу"
"testgrade-d","Received a grade of D on a test or quiz","Отримав/-ла D за тест або контрольну роботу"
"testgrade-f","Received a grade of F on a test or quiz","Отримав/-ла F за тест або контрольну роботу"
"lowtestscore","Received a low test score","Отримав/-ла низький баз за тест"
"conferenceasap","Requires that a parent-teacher conference be scheduled as soon as possible. Please contact the teacher.","Необхідно якомога швидше запланувати зустріч учителів з батьками. Прохання звернутися до вчителя."
"conference","Requires that a parent-teacher conference be scheduled. Please contact the teacher.","Необхідно запланувати зустріч учителя з батьками. Прохання звернутися до вчителя."
"scoreperfect","Scored perfectly on the test","Отримав відмінний бал за тест"
"scoreverywell","Scored very well on the test","Отримав/-ла гарний бал за тест"
"scorewell","Scored well on the test","Отримав/-ла задовільний бал за тест"
"shared","Shared well with others","Добре ділився/-лась з іншими"
"academicimprovement","Showed improvement in academic achievement","Покращення у навчанні"
"behaviorimprovement","Showed improvement in behavior","Покращення поведінки"
"improvement","Showed improvement in behavior and academic achievement","Покращення поведінки та навчання"
"slept","Slept in class today","Спав/-ла на уроці сьогодні"
"focused","Stays focused","Залишається сконцентрованим/-ою"
"focusedorganized","Stays focused and organized","Залишається сконцентрованим/-ою та зібраним/-ою"
"organized","Stays organized","Залишається зібраним/-ою"
"goodnoted","Takes good notes","Робить гарні нотатки"
"mobile","Used a mobile phone or other electronic device inappropriately","Попри заборону користується мобільним або іншим електронним приладом"
"badlanguageclass","Used inappropriate language in class","Брутально розмовляв під час уроку"
"badlanguagecampus","Used inappropriate language on campus","Брутально розмовляв/-ла на території школи"
"profanityclass","Used profanity in class ","Використовував/-ла ненормативну лексику під час уроку "
"profanitycampus","Used profanity on campus ","Використовував/-ла ненормативну лексику на території школи "
"pleasureclass","Was a pleasure to have in class","Приємно було мати такого учня/ученицю на уроці"
"absent","Was absent","Відсутній/-я"
"absentmakeup","Was absent and needs to complete make up work","Був/-ла відсутній/-я та має виконати додаткову роботу"
"assignedproject","Was assigned a project, please check the due date with your child","Отримав/-ла проект, прохання взнати у дитини, на коли його треба завершити"
"assigneddetention","Was assigned detention","Із-за поганої поведінки затриманий/-а у школі після уроків"
"homeworkdue-friday","Was assigned homework that is due Friday","Отримав/-ла домашнє завдання, що треба виконати на п’ятницю"
"homeworkdue-monday","Was assigned homework that is due Monday","Отримав/-ла домашнє завдання, що треба виконати на понеділок"
"homeworkdue-nextfriday","Was assigned homework that is due next Friday","Отримав/-ла домашнє завдання, що треба виконати на наступну п’ятницю"
"homeworkdue-nextmonday","Was assigned homework that is due next Monday","Отримав/-ла домашнє завдання, що треба виконати на наступний понеділок"
"homeworkdue-nextthursday","Was assigned homework that is due next Thursday","Отримав/-ла домашнє завдання, що треба виконати на наступний четвер"
"homeworkdue-nexttuesday","Was assigned homework that is due next Tuesday","Отримав/-ла домашнє завдання, що треба виконати на наступний вівторок"
"homeworkdue-nextwednesday","Was assigned homework that is due next Wednesday","Отримав/-ла домашнє завдання, що треба виконати на наступну середу"
"homeworkdue-thursday","Was assigned homework that is due Thursday","Отримав/-ла домашнє завдання, що треба виконати на четвер"
"homeworkdue-tomorrow","Was assigned homework that is due tomorrow","Отримав/-ла домашнє завдання, що треба виконати на завтра"
"homeworkdue-tuesday","Was assigned homework that is due Tuesday","Отримав/-ла домашнє завдання, що треба виконати на вівторок"
"homeworkdue-wednesday","Was assigned homework that is due Wednesday","Отримав/-ла домашнє завдання, що треба виконати на середу"
